City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.21,-159.78,75.2,78,86,17.87,overcast clouds
1,Cape Town,ZA,-33.93,18.42,66.99,88,75,9.17,light rain
2,Tuktoyaktuk,CA,69.45,-133.04,6.8,77,90,13.87,light snow
3,Jamestown,US,42.1,-79.24,64.0,42,1,11.41,clear sky
4,Ushuaia,AR,-54.8,-68.3,50.0,46,75,13.87,broken clouds
5,Bethel,US,41.37,-73.41,66.2,39,1,12.75,clear sky
6,Port Elizabeth,ZA,-33.92,25.57,66.2,88,0,5.82,clear sky
7,Caucaia,BR,-3.74,-38.65,84.2,70,20,12.75,few clouds
8,Corumba,BR,-19.01,-57.65,96.8,20,0,4.7,clear sky
9,Havoysund,NO,71.0,24.66,41.0,86,75,11.41,broken clouds
10,Qaanaaq,GL,77.48,-69.36,-6.72,83,87,5.59,overcast clouds
11,Vardo,NO,70.37,31.11,33.8,100,75,10.29,broken clouds
12,Albany,US,42.6,-73.97,66.0,38,100,1.99,overcast clouds
13,Mount Gambier,AU,-37.83,140.77,48.2,87,90,5.82,overcast clouds
14,Boditi,ET,6.97,37.87,58.93,77,22,1.79,few clouds
15,Aswan,EG,24.09,32.91,69.57,41,94,9.71,overcast clouds
16,Kapaa,US,22.08,-159.32,80.01,94,40,4.7,moderate rain
17,Rikitea,PF,-23.12,-134.97,74.32,68,56,11.68,broken clouds
18,Punta Arenas,CL,-53.15,-70.92,53.6,34,75,20.8,broken clouds
19,Ponta Do Sol,PT,32.67,-17.1,59.0,72,40,3.36,scattered clouds
20,Tual,ID,-5.67,132.75,82.27,78,64,11.27,broken clouds
21,Bollnas,SE,61.35,16.39,44.73,71,0,9.06,clear sky
22,Alyangula,AU,-13.85,136.42,78.8,88,29,1.12,scattered clouds
23,Faanui,PF,-16.48,-151.75,79.27,81,0,17.4,clear sky
24,Puerto Ayora,EC,-0.74,-90.35,78.8,69,40,19.46,scattered clouds
25,Baruun-Urt,MN,46.68,113.28,28.33,74,88,20.07,overcast clouds
26,Dikson,RU,73.51,80.55,-0.49,91,0,3.98,clear sky
27,Necochea,AR,-38.55,-58.74,68.0,38,96,5.01,overcast clouds
28,Port Alfred,ZA,-33.59,26.89,67.44,85,19,11.1,few clouds
