City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2020-11-03 00:25:28,-42.78,147.06,79.0,27,87,3.0
1,Yellowknife,CA,2020-11-03 00:22:48,62.46,-114.35,10.99,92,90,9.17
2,Do Gonbadan,IR,2020-11-03 00:27:28,30.36,50.8,53.6,32,0,2.19
3,Boizenburg,DE,2020-11-03 00:27:28,53.38,10.72,53.01,79,59,1.01
4,Kapaa,US,2020-11-03 00:24:11,22.08,-159.32,82.4,74,90,14.99
5,Tual,ID,2020-11-03 00:27:28,-5.67,132.75,82.63,77,99,10.11
6,Upington,ZA,2020-11-03 00:27:28,-28.45,21.26,73.4,21,37,5.82
7,Mataura,NZ,2020-11-03 00:24:07,-46.19,168.86,61.0,64,41,3.0
8,Albany,US,2020-11-03 00:15:05,42.6,-73.97,37.0,59,34,5.5
9,Faanui,PF,2020-11-03 00:26:09,-16.48,-151.75,79.7,80,6,17.09
10,Ushuaia,AR,2020-11-03 00:26:06,-54.8,-68.3,50.0,81,75,12.75
11,Bluff,NZ,2020-11-03 00:24:10,-46.6,168.33,61.0,64,50,3.0
12,Otjimbingwe,NA,2020-11-03 00:27:29,-22.35,16.13,59.97,35,0,0.74
13,East London,ZA,2020-11-03 00:24:07,-33.02,27.91,66.47,85,65,12.82
14,Hilo,US,2020-11-03 00:19:47,19.73,-155.09,84.2,66,90,5.46
15,Stow,US,2020-11-03 00:24:18,41.16,-81.44,41.0,35,1,10.29
16,Kahului,US,2020-11-03 00:27:01,20.89,-156.47,89.6,55,40,19.46
17,Saint-Philippe,RE,2020-11-03 00:24:36,-21.36,55.77,69.8,56,90,5.82
18,Basoko,CD,2020-11-03 00:27:30,1.24,23.62,70.38,95,94,2.33
19,Prosec,CZ,2020-11-03 00:27:30,49.81,16.12,57.99,87,100,11.99
20,Letlhakane,BW,2020-11-03 00:25:10,-21.42,25.58,73.9,55,46,11.18
21,Pontianak,ID,2020-11-03 00:22:57,-0.03,109.33,77.85,90,82,3.74
22,Kodiak,US,2020-11-03 00:24:34,57.79,-152.41,28.4,50,1,20.8
23,Qaanaaq,GL,2020-11-03 00:24:20,77.48,-69.36,8.47,78,100,3.96
24,Punta Arenas,CL,2020-11-03 00:27:31,-53.15,-70.92,51.8,50,75,6.93
25,Sur,OM,2020-11-03 00:24:21,22.57,59.53,68.56,47,0,1.21
26,Bredasdorp,ZA,2020-11-03 00:26:23,-34.53,20.04,64.4,88,57,10.29
27,Lorengau,PG,2020-11-03 00:26:13,-2.02,147.27,86.58,63,2,1.72
28,Jamestown,US,2020-11-03 00:27:31,42.1,-79.24,37.0,59,90,16.11
29,Vaitape,PF,2020-11-03 00:27:31,-16.52,-151.75,80.55,79,5,16.98
30,Uthal,PK,2020-11-03 00:27:32,25.81,66.62,70.07,24,0,4.65
31,Butaritari,KI,2020-11-03 00:27:32,3.07,172.79,81.43,73,42,16.35
32,Chuy,UY,2020-11-03 00:26:40,-33.7,-53.46,56.64,90,34,6.76
33,Grindavik,IS,2020-11-03 00:24:30,63.84,-22.43,41.0,86,75,25.28
